Company Name,Company Type,Website
Heritage Apothecary,Home Goods,https://www.etsy.com/shop/HeritageApothecary?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865359_36f470b5ea0268486058f874ed424462
Honey Butter Bakery,Food,https://www.honeybutterbakery.com/
Honey Dipped Co.,Skincare,https://www.iamhoneydipped.com/
Honey Mami,Skincare,https://honeymami.bigcartel.com/
Hope For Flowers,Apparel,hopeforflowers.com
Horizon Real Estate Solutions,Services,http://www.horizonresolutions.com/
House of Aama,Apparel,https://houseofaama.com/
Hummingbyrd Naturals,Beauty,http://hummingbyrdnaturals.com/
Hyper,Skincare,https://gethyperskin.com/
Iced Gems Baking,Food,http://www.icedgemsbaking.com/
Ifa Can Elements,Home Goods,https://www.etsy.com/shop/Ifacanelements?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865603_b1f1377e9760f0c4e3fa1fe3f2f308c5
Ignite Your Peace,Decor,http://igniteyourpeace.com/
Into The Light LLC,Health,http://intothelightwithkaren.com/
Isidora Akemi LLC,Beauty,http://isidoraakemi.com/
IT Urban Boutique,Accessories,https://www.iturbanboutique.com/
Its All Good Bakery,Food,http://www.itsallgoodbakery.com/home.php
Ivory B.,Accessories,https://www.ivoryb.com/
Ivy’s Tea Co.,Food,http://www.ivystea.com/
Iwi Fresh,Bath & Body,https://www.iwifresh.com/
Iya Foods,Food,https://www.iyafoods.com/
Jamille Textiles,Apparel,http://adiajamille.com/jamilletextiles
JCHIC Style Studio,Apparel,http://www.jchiclife.style/
Jentl,Skincare,jentl.com
Jive Juice,Food,https://jivejuicecompany.com/
Jo's Cupcake Creations,Food,https://www.facebook.com/Joscupcakecreations/
Jobbing With Jas,Apparel,http://www.jobbingwithjas.com/
Joe and Monroe,Candle,https://joeandmonroe.com/
Jones Bar-B-Q,Food,https://www.jonesbbqkc.com/
Judith's Dessert Boutique,Food,http://www.judithsdessertboutique.com/
Just Kweenin,Home Goods,https://www.etsy.com/shop/JustKweenin?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865493_b48b0f11bd6eef7c29c7edebc0821a8e
Just Like Me! Book Box,Literature,http://justlikemebox.com/
Justice of the Pies,Food,https://www.justiceofthepies.com/
K The Other Way,Decor,http://www.ktheotherway.com/
Kaeess Nail Polish,Beauty,http://www.kaeessnailpolish.com/
Kahmune,Footwear,kahmune.com
Kara Hinson,Art,https://www.karahinson.com/
KarynMichelle - Creative Expressions,Accessories,http://www.karynmichelle.com/
Kashmir VIII,Accessories,http://kashmirviii.bigcartel.com/
Keke Reaux,Accessories,https://www.etsy.com/shop/KekeReaux
